COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
BPG5280;1;0;0;0;0;0;1;0;0;0;
YHL9611;0;0;0;0;0;0;0;0;0;0;
XFD8852;1;1;0;0;0;0;0;0;0;0;
EGK0624;1;0;0;0;0;0;0;0;0;0;
UTI9648;0;0;0;0;0;0;0;0;0;0;
GSK5149;1;1;0;0;0;0;0;0;0;0;
JSO6407;2;0;0;0;0;0;0;0;0;0;
KVJ8223;1;0;0;0;0;0;0;0;0;0;
RBP3981;1;1;0;0;0;0;0;0;0;0;
VTL9452;1;1;0;0;0;0;0;0;0;0;
LWW4121;1;0;0;0;0;0;0;0;0;0;
JWC8570;1;0;0;0;0;0;0;0;0;0;
ARB3743;1;1;0;0;0;0;0;0;0;0;
XWX6132;1;0;0;0;0;0;0;0;0;0;
CTA6467;0;0;0;0;0;0;0;0;0;0;
VCN3475;1;0;0;0;0;0;0;0;0;0;
JYW1499;1;1;0;0;0;0;0;0;0;0;
SKL7331;0;1;0;0;0;0;0;0;0;0;
FXN4626;0;0;0;0;0;0;0;0;0;0;
WTQ0599;1;0;0;0;0;0;0;0;0;0;
KVM0686;0;1;0;0;0;0;0;0;0;0;
BET2058;1;1;0;0;0;0;0;0;0;0;
HOY5690;1;0;0;0;0;0;0;0;0;0;
IKQ4310;1;1;0;0;0;0;0;0;0;0;
GRN9199;1;1;0;0;0;0;0;0;0;0;
EYM9524;1;1;0;0;0;0;0;0;0;0;
EYM9524;1;1;0;0;0;0;0;0;0;0;
HZM6700;0;1;0;0;1;0;0;0;0;0;
SCL6828;1;0;0;0;0;0;0;0;0;0;
ERN7235;1;1;0;0;0;0;0;0;0;0;
GNN7604;1;0;0;0;0;0;0;0;0;0;
PKY6906;1;0;0;0;0;0;0;0;0;0;
ETA5156;1;0;0;0;0;0;0;0;0;0;
GHE3849;0;0;0;0;0;0;1;0;0;0;
HGT7773;0;0;0;0;0;0;0;0;0;0;
OFW5979;0;2;0;0;0;0;0;0;0;0;
BZK2509;0;0;0;0;0;0;1;0;0;0;
AAE0066;1;1;0;0;0;0;0;0;0;0;
BGZ3823;0;0;0;0;0;0;1;0;0;0;
PMW5163;0;1;0;0;0;0;0;0;0;0;
WZD9833;1;1;0;0;0;0;0;0;0;0;
ZQD3371;1;1;0;0;0;0;0;0;0;0;
SED4765;1;0;0;0;0;0;0;0;0;0;
ZAH9948;0;0;0;0;0;0;1;0;0;0;
ZSV0064;1;1;0;0;0;0;0;0;0;0;
NWL4235;1;0;0;0;0;0;0;0;0;0;
HWG1508;1;0;0;0;0;0;0;0;0;0;
ORF8572;0;0;0;0;0;0;0;0;0;0;
WZT4601;1;0;0;0;0;0;0;0;0;0;
GIV6049;1;1;0;0;0;0;0;0;0;0;
STG8019;1;1;0;0;0;0;0;0;0;0;
OWU5951;1;1;0;0;0;0;0;0;0;0;
QQX9953;1;0;0;0;0;0;0;0;0;0;
PGG0893;0;0;0;0;0;0;1;0;0;0;
