COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
YCH1031;1;1;0;0;0;0;0;0;0;0;
RHN7673;1;0;0;0;0;0;0;0;0;0;
QEX4064;0;1;0;2;0;0;0;0;0;0;
PGL4538;1;1;0;0;0;0;0;0;0;0;
PEN2473;0;1;0;0;0;0;0;0;0;0;
YMK5140;1;1;0;0;0;0;0;0;0;0;
SWJ7286;1;1;0;0;0;0;0;0;0;0;
OZD0745;0;0;0;0;1;0;0;0;0;0;
ATJ8733;1;0;0;0;0;0;0;0;0;0;
OQG9710;1;1;0;0;0;0;0;0;0;0;
XAO9401;1;0;0;0;0;0;0;0;0;0;
AFJ4793;2;0;0;0;0;0;0;0;0;0;
PJJ2671;1;0;0;0;1;0;0;0;0;0;
WIR4894;1;1;0;0;0;0;0;0;0;0;
IFG9969;0;2;0;0;0;0;0;0;0;0;
CTX6147;1;1;0;0;0;0;0;0;0;0;
XHN3188;0;2;0;0;0;0;0;0;0;0;
MNL2823;0;2;0;0;0;0;0;0;0;0;
GDL4225;0;1;0;0;0;0;0;0;0;0;
ECC0833;0;1;0;0;0;1;0;0;0;0;
MBA5739;1;1;0;0;0;0;0;0;0;0;
CWJ8784;0;2;0;0;0;0;0;0;0;0;
SKU4289;1;1;0;0;0;0;0;0;0;0;
IMN0674;1;1;0;0;0;0;0;0;0;0;
EIU1684;1;1;0;0;0;0;0;0;0;0;
DHI4941;0;1;0;0;0;0;0;0;0;0;
ZHG6541;1;1;0;0;0;0;0;0;0;0;
QHK5839;1;1;0;0;0;0;0;0;0;0;
DUA9085;0;0;0;1;1;0;0;0;0;0;
LGL8578;0;1;0;0;0;0;0;0;0;0;
AXZ6207;1;1;0;0;0;0;0;0;0;0;
VMD3773;0;3;0;0;0;0;0;0;0;0;
EXY4829;1;1;0;0;0;0;0;0;0;0;
XEZ2949;1;1;0;0;0;0;0;0;0;0;
TRF3153;1;1;0;0;0;0;0;0;0;0;
UXL9409;1;1;0;0;0;0;0;0;0;0;
MSF9815;1;1;0;0;0;0;0;0;0;0;
RXN9518;0;1;0;2;0;0;0;0;0;0;
JFP9248;1;4;0;0;0;0;0;0;0;0;
MEG0721;1;1;0;0;0;0;0;0;0;0;
IYR8086;0;1;0;0;1;0;0;0;0;0;
OTL7316;1;1;0;0;0;0;0;0;0;0;
GZG2485;0;1;0;0;0;0;0;0;0;0;
HYD7666;0;2;0;0;0;0;0;0;0;0;
UDU6187;0;0;0;0;1;0;0;0;0;0;
VUT7902;2;0;0;0;0;0;0;0;0;0;
MMT0055;1;2;0;0;0;0;0;0;0;0;
OJW3589;1;1;0;0;0;0;0;0;0;0;
VXN2421;1;1;0;0;0;0;0;0;0;0;
SBJ4309;0;2;0;0;0;0;0;0;0;0;
LUX6641;1;0;0;0;0;0;0;0;0;0;
DOJ9596;0;1;0;0;0;0;0;0;0;0;
MXG9667;0;2;0;0;0;0;0;0;0;0;
ZAT5340;0;0;0;0;1;0;0;0;0;0;
KKE4421;1;0;0;0;0;0;0;0;0;0;
JOE6238;0;1;0;0;0;0;0;0;0;0;
OSS1531;0;2;0;0;0;0;0;0;0;0;
BKV2609;0;1;0;0;1;0;0;0;0;0;
URQ0276;1;1;0;0;0;0;0;0;0;0;
QPK3900;1;1;0;0;0;0;0;0;0;0;
QZS1507;1;1;0;0;0;0;0;0;0;0;
FIZ6396;1;1;0;0;0;0;0;0;0;0;
XGH1480;1;1;0;0;0;0;0;0;0;0;
IHI7726;0;2;0;0;0;0;0;0;0;0;
WAM9941;1;1;0;0;0;0;0;0;0;0;
WTM3371;1;1;0;0;0;0;0;0;0;0;
ZTU9214;1;1;0;0;0;0;0;0;0;0;
RBS0761;0;2;0;0;0;0;0;0;0;0;
ZCC0109;1;0;0;0;0;0;0;1;0;0;
GQZ0808;0;2;0;0;0;0;0;0;0;0;
TXX6890;1;1;0;0;0;0;0;0;0;0;
AUA3282;1;1;0;0;1;0;0;0;0;0;
GHG8832;1;2;0;0;0;0;0;0;0;0;
GRA8010;1;0;0;0;1;0;0;0;0;0;
ZKN8925;1;1;0;0;0;0;0;0;0;0;
JEZ5563;2;0;0;0;0;0;0;0;0;0;
DFA7981;1;0;0;0;1;0;0;0;0;0;
