COD_ACIDENTE;DATA;LOG1;LOG2;NUMERO;BAIRRO;AMC;NATUREZA;ILUMINACAO;TEMPO;SUPERFICIEPISTA;TIPOCRUZAMENTO;CONTROLETRAFEGO;USOSOLO;COORDENADAS
DCA3537;2022-07-14 10:44:00;Rua Senador Almino;RUA DRAGAO DO MAR;;PRAIA DE IRACEMA;971240;Capotamento;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.51789847475827 -3.721766559845493);
UMF4535;2022-07-12 23:00:00;Avenida Presidente Costa e Silva;RUA PAU BRASIL;;PREFEITO JOSE VALTER;971227;Colisão Lateral;Via Iluminada;Bom;Seca;T;Semáforo;Cruzamento;(-38.5483579 -3.8238203);
DSS5743;2022-07-14 13:20:00;Rua Coronel Manuel Jesuíno;;;MUCURIPE;971244;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Não há Controle;Longo da via;(-38.48507896504957 -3.730294014220516);
HIH7360;2022-07-12 10:50:00;Avenida Rogaciano Leite;RUA VALE FORMOSO;;JARDIM DAS OLIVEIRAS;970962;Colisão Transversal;Luz do Dia;Bom;Seca;T;Pare;Cruzamento;(-38.5029814 -3.7854655);
EET9346;2022-07-12 00:55:00;RUA FACUNDES VARELA;RUA ANTONIO BANDEIRA D41;;ITAPERI;971225;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Pare;Cruzamento;(-38.5631245 -3.7841362);
KAD5023;2022-07-16 00:31:00;Avenida Tristão Gonçalves;RUA PEDRO PEREIRA;;CENTRO;968869;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.5335279 -3.7280666);
ZFD8288;2022-07-15 12:00:00;Rua Professor Lino Encarnação;RUA ABILIO MARTINS;;AMADEU FURTADO;970164;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.56045440278608 -3.742209828774324);
VSU1976;2022-07-15 10:50:00;Avenida General Osório de Paiva;RUA IGUAPE;;PARANGABA;971035;Choque c/ Obstáculo Fixo;Luz do Dia;Bom;Seca;T;Pare;Longo da via;(-38.5686484 -3.7769465);
IEQ7114;2022-07-15 19:20:00;Rua Eudes Cardoso;RUA BARTOLOMEU DIAS;;MESSEJANA;971086;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.4904436 -3.8257375);
GLL2160;2022-07-11 16:20:00;AV JOSE BASTOS;;;BENFICA;971184;Colisão Lateral;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.5445158 -3.7440638);
