COD_ACIDENTE;DATA;LOG1;LOG2;NUMERO;BAIRRO;AMC;NATUREZA;ILUMINACAO;TEMPO;SUPERFICIEPISTA;TIPOCRUZAMENTO;CONTROLETRAFEGO;USOSOLO;COORDENADAS
BYD7658;2022-07-15 20:59:00;Avenida Oliveira Paiva;;;CIDADE DOS FUNCIONRAIOS;971261;Choque c/ Obstáculo Fixo;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.492164 -3.795765);
DHA3700;2022-07-11 08:30:00;AV PRE COSTA E SILVA;;;MONDUBIM;971160;Colisão Lateral;Amanhecer;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.56929497350958 -3.814779161223712);
XQT4546;2022-07-16 08:00:00;Rua Doutor Waldemar de Alcântara;;;CAMBEBA;971203;Choque c/ Obstáculo Fixo;Luz do Dia;Bom;Seca;Meio de quadra;Outros;Longo da via;(-38.47260135584314 -3.798831812515429);
SDM2581;2022-07-18 00:00:00;Rua Tereza Hinko;RUA DA PAZ;;MUCURIPE;967811;Colisão Transversal;Via Iluminada;Não informado;Seca;T;Pare;Longo da via;(-38.48447815043271 -3.724908826660336);
VTV2642;2022-07-11 12:20:00;AV DA ABOLIÇÃO;;;MEIRELES;970711;Atropelamento;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.50147798904811 -3.725472907867394);
UCB9857;2022-07-18 01:00:00;Rua Padre Valdevino;RUA ANTONIO AUGUSTO;;ALDEOTA;969334;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Pare;Longo da via;(-38.5164862 -3.739250199999999);
TJZ2073;2022-07-11 17:20:00;Avenida Doutor Valmir Pontes;;;EDSON QUEIROZ;968630;Colisão Lateral;Luz do Dia;Bom;Seca;Outros;Outros;Longo da via;(-38.4776052 -3.7710502);
FBB2903;2022-07-17 11:50:00;Avenida Dom Manuel;;;CENTRO;969485;Atropelamento;Luz do Dia;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.52140144013666 -3.72923410913657);
USV4019;2022-07-10 10:30:00;Avenida General Osório de Paiva;;;CANINDEZINHO;971161;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.60490933354955 -3.807606738021358);
QAT6587;2022-07-17 13:10:00;Avenida dos Expedicionários;RUA RAUL CABRAL;;MONTESE;970430;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.5425846 -3.7696108);
HRK1325;2022-07-17 04:16:00;Avenida Pontes Vieira;RUA OSVALDO CRUZ;;DIONISIO TORRES;970768;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.50544766051114 -3.751818375226075);
MKK3879;2022-07-10 15:00:00;RUA NEWTON CRAVEIRO;RUA EVARISTO DA VEIGA;;PARQUE IRACEMA;971125;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;(-38.4951278 -3.8085504);
AMX9898;2022-07-17 22:15:00;Avenida Godofredo Maciel;;;MARAPONGA;971180;Colisão;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.56887118155877 -3.793703976372087);
BYV0061;2022-06-18 16:05:00;Rua Tipógrafo Sales;RUA DAMIAO FERNANDES;;PARQUELANDIA;970816;Colisão Lateral;Não informado;Bom;Seca;Cruz;Pare;Longo da via;(-38.56327072468136 -3.744977315088756);
KJF2047;2022-07-18 18:00:00;Avenida General Murilo Borges;;;ENGENHEIRO LUCIANO CAVALCANTE;970429;Colisão Traseira;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.49762634590767 -3.767486235083934);
RNQ8237;2022-07-10 04:00:00;AV 13 DE MAIO;AV LUCIANO CARNEIRO;;FATIMA;971088;Colisão Lateral;Via Iluminada;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.5313347 -3.7475788);
PES3220;2022-07-18 16:00:00;Avenida da Abolição;RUA JOAQUIM NABUCO;;MEIRELES;971185;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.49836126145922 -3.726407689332507);
UOI4317;2022-07-10 23:00:00;Avenida Presidente Castelo Branco;;;MOURA BRASIL;970943;Atropelamento;Mal Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.54337254306265 -3.714897077908003);
SWP5765;2022-07-19 23:32:00;Avenida João Pessoa;;;MONTESE;967133;Colisão Transversal;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.55839446626264 -3.763814189337822);
EWY0516;2022-07-19 18:00:00;Avenida Oliveira Paiva;RUA PDE JANUARIO CAMPOS;;PARQUE MANIBURA;970056;Colisão Transversal;Luz do Dia;Bom;Seca;T;Semáforo;Longo da via;(-38.48960118868325 -3.796016323788955);
LOH2700;2022-07-11 00:30:00;AV DOM MANUEL;AV SANTOS DUMONT;;CENTRO;970753;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.5212775 -3.7287794);
PIT2062;2022-07-09 10:30:00;AV VIS RIO BRANCO;RUA GUILHERME MOREIRA;;JOAQUIM TVORA;971017;Colisão Transversal;Luz do Dia;Bom;Seca;T;Pare;Cruzamento;(-38.5213276 -3.7493842);
TBE9572;2022-07-19 16:10:00;Avenida Doutor Valmir Pontes;;;EDSON QUEIROZ;970641;Colisão Lateral;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.4783434 -3.7711941);
SMQ4728;2022-07-09 09:50:00;AV VALPARAISO;RUA VERDE 3  ST SAO JOAO;;CONJUNTO PALMEIRAS;970767;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;(-38.5183616 -3.8464811);
DTT1915;2022-07-09 21:10:00;AV ENG AGRONOMO JOSE GUIMARAES DUQUE;RUA PEDRO LAZAR;;CAMBEBA;969750;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Pare;Cruzamento;(-38.48842675532451 -3.805107499133729);
PWD5755;2022-07-19 17:40:00;Avenida General Osório de Paiva;;;CANINDEZINHO;970817;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.60277429378851 -3.805345940368568);
IXZ9575;2022-07-19 10:00:00;Rua Vitória;;;HENRIQUE JORGE;971019;Choque c/ Obstáculo Fixo;Luz do Dia;Bom;Seca;Meio de quadra;Não informado;Longo da via;(-38.58871246513544 -3.765553779449077);
WVN0408;2022-07-08 20:00:00;AV I;AV D CJ JOSE WALTER;;PREFEITO JOSE VALTER;971226;Colisão Lateral;Anoitecer;Bom;Não informado;Cruz;Semáforo;Cruzamento;(-38.5530154 -3.8325173);
FKB8193;2022-07-19 11:20:00;Rua Gomes Brasil;AV AUGUSTO DOS ANJOS;;PARANGABA;971047;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.57044831256324 -3.770028823277817);
FJJ8102;2022-07-08 18:45:00;RUA RAIMUNDO ARRUDA;AV JOVITA FEITOSA;;PARQUE ARAXA;971215;Colisão;Não informado;Nublado;Molhada;Cruz;Semáforo;Cruzamento;(-38.55098960000001 -3.7388143);
HGC4264;2022-07-08 10:40:00;RUA ANTONIO NERY;RUA HUMBERTO LOMEU;;GRANJA PORTUGAL;971186;Colisão Transversal;Luz do Dia;Bom;Material Derrapante;Cruz;Pare;Cruzamento;(-38.6013429 -3.7823399);
HGC4264;2022-07-08 23:30:00;RUA RAIMUNDO ARRUDA;AV JOVITA FEITOSA;;PARQUE ARAXA;971178;Colisão Transversal;Via Iluminada;Nublado;Molhada;Cruz;Semáforo;Cruzamento;(-38.5509896 -3.7388143);
PVL1086;2022-07-08 18:52:00;RUA OSVALDO CRUZ;RUA PEREIRA VALENTE;;ALDEOTA;971124;Colisão Transversal;Luz do Dia;Bom;Seca;Não informado;Pare;Cruzamento;(-38.49905 -3.7316153);
GOK6152;2022-07-08 14:20:00;RUA DA PAZ ;RUA MANUEL JACARE;;MEIRELES;971123;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;(-38.4875434 -3.7247439);
YUE8300;2022-07-08 11:25:00;RUA PINHO PESSOA;RUA ANTONIO AUGUSTO;;JOAQUIM TVORA;971062;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;(-38.5181362 -3.7444399);
FVR4245;2022-07-09 01:00:00;AV PRE COSTA E SILVA;;;MESSEJANA;970467;Atropelamento;Via Iluminada;Chuva;Molhada;Meio de quadra;Semáforo;Longo da via;(-38.51935220388515 -3.828411952726611);
RNV2291;2022-07-19 18:30:00;Rua Conselheiro Lafayette;RUA ALBERTO FERREIRA;;JARDIM IRACEMA;971107;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.5828428 -3.7179462);
YJO3745;2022-07-08 21:15:00;Avenida Beira Mar;RUA PAULA BARROS;;MEIRELES;970195;Colisão Traseira;Via Iluminada;Nublado;Seca;T;Não há Controle;Cruzamento;(-38.4925098 -3.7257466);
LGH5337;2022-07-08 23:00:00;AV DES MOREIRA;AV PONTES VIEIRA;;DIONISIO TORRES;970194;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.5033154 -3.7514758);
HXI1676;2022-07-20 23:00:00;Rua Tarcísio Bonfim;;;PAPICU;970947;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Pare;Longo da via;(-38.47601308967059 -3.736696241977222);
EOV3412;2022-07-20 17:35:00;Rua Guilherme Rocha;RUA OTO DE ALENCAR;;JACARECANGA;971061;Engavetamento;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.5400922 -3.7230772);
FYT4157;2022-07-07 04:15:00;Rua Walter Porto;;;PARQUE IRACEMA;971089;Choque c/ Obstáculo Fixo;Via Iluminada;Nublado;Molhada;T;Não há Controle;Longo da via;(-38.494388 -3.8022442);
MTP9457;2022-07-07 10:15:00;Avenida General Osório de Paiva;;;PARANGABA;970715;Colisão Lateral;Luz do Dia;Nublado;Molhada;Meio de quadra;Semáforo;Longo da via;(-38.5774264 -3.7826553);
SHY6608;2022-07-20 17:30:00;Avenida Bernardo Manuel;;;SERRINHA;971097;Colisão Transversal;Não informado;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.547317 -3.78537);
OSB7079;2022-07-07 20:30:00;RUA GERMANO FRANKLIN;RUA MUNDICA PAULA;;MONTESE;960596;Colisão Lateral;Luz do Dia;Bom;Seca;Meio de quadra;Semáforo;Cruzamento;(-38.5574654 -3.7732481);
OMK5780;2022-07-06 11:45:00;Avenida Borges de Melo;;;PARREAO;970707;Colisão Traseira;Luz do Dia;Nublado;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.53178159283198 -3.758543625778024);
GFW5831;2022-07-21 16:44:00;Rua H;;;PARQUE DOIS IRMAOS;969973;Atropelamento;Luz do Dia;Bom;Seca;Meio de quadra;Não informado;Longo da via;(-38.5498263 -3.8011738);
WQZ6549;2022-07-21 22:20:00;Avenida José Jatahy;AV FRANCISCO SA;;JACARECANGA;970188;Colisão Transversal;Não informado;Não informado;Seca;Cruz;Semáforo;Longo da via;(-38.54682878180031 -3.721092068403111);
XCA4694;2022-07-06 22:35:00;Rua Santa Luzia;AV DOS EXPEDICIONARIOS;;JARDIM AMERICA;970038;Colisão Transversal;Via Iluminada;Nublado;Seca;Cruz;Pare;Cruzamento;(-38.53979066777755 -3.760154841176404);
KTV9828;2022-07-21 18:40:00;Estrada Barão de Aquiraz;;;MESSEJANA;971057;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.48486439156789 -3.840972046986402);
UZA7984;2022-07-06 22:21:00;AV GOV RAUL BARBOSA;;;AEROLANDIA;969749;Colisão Transversal;Via Iluminada;Bom;Seca;Não informado;Outros;Longo da via;(-38.50811913809983 -3.762531512274694);
KTV9828;2022-07-21 19:00:00;Rua Professor Mozart Solon;RUA DR MIRANDA LEAO;;DE LOURDES;971126;Colisão Lateral;Luz do Dia;Bom;Seca;T;Não há Controle;Longo da via;(-38.46237145338133 -3.741936826749102);
QVD1305;2022-07-05 19:40:00;RUA DEMETRIOS MENEZES;;;PADRE ANDRADE;971183;Colisão Traseira;Luz do Dia;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.5842245 -3.7361245);
DFZ8991;2022-07-05 16:00:00;Avenida Castelo de Castro;RUA PAISAGISTA;;CONJUNTO PALMEIRAS;971096;Colisão Transversal;Não informado;Nublado;Molhada;T;Não há Controle;Cruzamento;(-38.5215033648374 -3.83043517538948);
UZD6995;2022-07-05 10:00:00;AV AMERICO BARREIRA;AV AUGUSTO DOS ANJOS;;PARANGABA;971016;Colisão Traseira;Luz do Dia;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.5704451 -3.7702252);
ZKQ5022;2022-07-21 22:00:00;Rua Antenor Rocha Alexandre;RUA LIDIA BRIGIDO;;PARQUE MANIBURA;971233;Colisão Frontal;Via Iluminada;Bom;Seca;Duplo T;Pare;Longo da via;(-38.48440841097364 -3.792339046172741);
KIC0656;2022-07-22 09:40:00;Rua Anselmo Nogueira;RUA RAIMUNDO NERY;;SIQUEIRA;970143;Colisão Traseira;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.5880634 -3.7902552);
JUN9589;2022-07-06 00:30:00;Rua Paulo Setúbal;RUA MAD ANA COUTO;;MESSEJANA;970946;Colisão Transversal;Mal Iluminada;Bom;Seca;Cruz;Pare;Cruzamento;(-38.4973604 -3.820545);
BVC4042;2022-07-22 10:30:00;Avenida Américo Barreira;;;DAMAS;970980;Colisão Traseira;Luz do Dia;Bom;Seca;Meio de quadra;Outros;Longo da via;(-38.54809478688496 -3.747584204252636);
HJU0235;2022-07-22 11:40:00;Rua José Vilar;RUA PEREIRA FILGUEIRAS;;ALDEOTA;971243;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.50329116507059 -3.731525215490833);
TSC2229;2022-07-23 23:00:00;Avenida Heróis do Acre;;;PASSARE;970239;Atropelamento;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.52952316822388 -3.80308714400914);
IET7636;2022-07-23 07:00:00;Avenida Padre Antônio Tomás;RUA BARBOSA DE FREITAS;;ALDEOTA;970317;Colisão Transversal;Não informado;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.49847391302304 -3.740571815347014);
SCP4554;2022-07-23 18:00:00;Rua General Piragibe;RUA NESTOR BARBOSA;;AMADEU FURTADO;970463;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.556638 -3.7442768);
LPS9473;2022-07-05 21:20:00;AV PDE ANTONIO TOMAS;RUA MON CATAO;;ALDEOTA;970121;Colisão Traseira;Via Iluminada;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.49187035435848 -3.742800663748353);
TFH5853;2022-07-23 22:00:00;Avenida Bernardo Manuel;;;ITAPERI;970527;Colisão Transversal;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.55539575962104 -3.812063415855572);
ICN1564;2022-07-06 00:00:00;Avenida Doutor Silas Munguba;;;SERRINHA;970039;Colisão Traseira;Via Iluminada;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.547595 -3.7876444);
WHQ5032;2022-07-23 18:00:00;Avenida Jornalista Tomaz Coelho;;;JANGURUSSU;970770;Atropelamento;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.5185636629989 -3.828217257436413);
ZXS4786;2022-07-23 15:55:00;Avenida Dioguinho;RUA JAMAICA;;PRAIA DO FUTURO II;971018;Colisão Transversal;Luz do Dia;Bom;Seca;Outros;Não há Controle;Longo da via;(-38.44010904607379 -3.771822012586114);
ZNM9673;2022-07-24 17:50:00;Rua Afonso Lopes;RUA ACAPULCO;;ITAPERI;968942;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.5478954 -3.7920134);
RYM9364;2022-07-24 16:00:00;Rua Professor Otávio Lobo;RUA PEREIRA DE MIRANDA;;PAPICU;968943;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.47700551733202 -3.741530000043869);
DLN0488;2022-07-24 23:50:00;Avenida Dom Luís;AV SEN VIRGILIO TAVORA;;ALDEOTA;970755;Colisão Lateral;Via Iluminada;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.4925164 -3.7348276);
VRB5424;2022-07-05 16:30:00;RUA FRANCISCO PITA;RUA DAS GAIVOTAS;;JARDIM DAS OLIVEIRAS;969800;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;(-38.4990558 -3.781772);
LES9740;2022-07-24 18:30:00;Rua Canuto de Aguiar;RUA CEL LINHARES;;MEIRELES;971298;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.49263743349552 -3.731557333761756);
QXC4526;2022-07-25 11:30:00;Avenida General Osório de Paiva;;;SIQUEIRA;970116;Colisão Lateral;Luz do Dia;Bom;Seca;T;Não há Controle;Longo da via;(-38.5949496 -3.7975027);
UXS2004;2022-07-25 03:30:00;Avenida Chanceler Edson Queiroz;AV ROGACIANO LEITE;;GUARARAPES;970175;Colisão Traseira;Via Iluminada;Bom;Seca;T;Semáforo;Longo da via;(-38.49420383465159 -3.764510059254641);
HSN8880;2022-07-25 17:45:00;Rua Marcos Macêdo;RUA PRO DIAS DA ROCHA;;VARJOTA;970818;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.49181667288016 -3.736176999492721);
ZYC2433;2022-07-25 18:00:00;Rua Cônego Braveza;RUA ULISSES BEZERRA;;CIDADE DOS FUNCIONRAIOS;971098;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.4980008 -3.7974623);
UOO7550;2022-07-25 19:30:00;Avenida da Abolição;RUA FRE MANSUETO;;MUCURIPE;971127;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.4893915 -3.7263471);
DHS1002;2022-07-25 21:20:00;Rua Frei Odilon;;;PRESIDENTE KENNEDY;971228;Atropelamento;Via Iluminada;Bom;Seca;Meio de quadra;Pare;Longo da via;(-38.57246532949058 -3.733880552243076);
EDF3638;2022-07-25 11:00:00;Avenida Sargento Hermínio Sampaio;;;PRESIDENTE KENNEDY;971267;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.57704117968976 -3.73066872783324);
LAT7619;2022-07-25 13:15:00;Avenida L;RUA 56 CJ JOSE WALTER;;PREFEITO JOSE VALTER;971301;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Longo da via;(-38.55791703224812 -3.832461738532648);
SUH4086;2022-07-04 06:22:00;Avenida Padre Antônio Tomás;;;COCO;971174;Choque c/ Obstáculo Fixo;Não informado;Chuva;Molhada;Meio de quadra;Não informado;Longo da via;(-38.48640397696477 -3.743780257889329);
SON0391;2022-07-26 21:28:00;Avenida Senador Virgílio Távora;;;MEIRELES;969164;Colisão Traseira;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.49088862471412 -3.729630235428637);
EBF7929;2022-07-04 11:45:00;RUA AUGUSTO CALHEIROS;RUA FRANCISCO NEPOMUCENO;;BARROSO;971159;Colisão Transversal;Luz do Dia;Bom;Seca;Não informado;Pare;Cruzamento;(-38.5074006 -3.8271644);
BZZ3583;2022-07-26 18:30:00;Rua Wenefrido Melo;RUA DNA LIBANIA R. MELO NUNES;;MONDUBIM;971214;Colisão Transversal;Luz do Dia;Bom;Seca;T;Semáforo;Longo da via;(-38.57608095270932 -3.810746687740807);
HMM1199;2022-07-04 19:25:00;RUA MANUEL CASTELO BRANCO;RUA CEL DIONISIO ALENCAR;;MESSEJANA;971153;Colisão Transversal;Não informado;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.4882905 -3.83304);
VFE9448;2022-07-26 12:20:00;Rua dos Tabajaras;;;PRAIA DE IRACEMA;971287;Colisão Frontal;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.51663783935584 -3.719293422032369);
UQX9040;2022-07-26 12:50:00;Avenida General Osório de Paiva;RUA PERDIGAO DE OLIVEIRA;;PARANGABA;971302;Colisão Transversal;Luz do Dia;Bom;Seca;Duplo T;Pare;Longo da via;(-38.5701006 -3.7778718);
FSD8171;2022-07-26 23:30:00;Avenida Presidente Castelo Branco;;;PIRAMBU;971321;Colisão Traseira;Via Iluminada;Bom;Seca;Meio de quadra;Outros;Longo da via;(-38.55340391425598 -3.712302136402061);
KUH2551;2022-07-04 16:00:00;Avenida General Osório de Paiva;;;CANINDEZINHO;971094;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.60726967114904 -3.81003145195967);
QEG1328;2022-07-28 00:22:00;Rua Padre Cícero;AV JOAO PESSOA;;BENFICA;960931;Colisão Lateral;Via Iluminada;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.54328826326856 -3.745962259751368);
BYQ1882;2022-07-04 12:45:00;Avenida Treze de Maio;;;BENFICA;970975;Colisão Transversal;Luz do Dia;Nublado;Molhada;Meio de quadra;Semáforo;Longo da via;(-38.5374927 -3.742407);
FGS4794;2022-07-27 11:55:00;Rua General Clarindo de Queiroz;;;CENTRO;968757;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de quadra;Outros;Longo da via;(-38.52996304625047 -3.732788533261572);
QVB6406;2022-07-27 12:05:00;Rua Antônio Bandeira;RUA FAGUNDES VARELA;;ITAPERI;971034;Colisão Transversal;Amanhecer;Bom;Seca;Cruz;Pare;Longo da via;(-38.5631245 -3.7841362);
SLU5919;2022-07-27 11:20:00;Rua Cônego de Castro;;;PARANGABA;971202;Colisão Lateral;Luz do Dia;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.56761590227313 -3.778609334417707);
CXG6913;2022-07-04 03:10:00;Rua Padre Pedro de Alencar;RUA EDUARDO PORTO;;MESSEJANA;970908;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Semáforo;Cruzamento;(-38.4941088 -3.8327354);
SBS3907;2022-07-27 19:30:00;Rua Guilherme Rocha;;;CENTRO;971251;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Não há Controle;Longo da via;(-38.53714600098002 -3.72399344855851);
DTF9287;2022-07-28 23:50:00;Avenida Governador Raul Barbosa;;;AEROLANDIA;970942;Colisão Traseira;Via Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.51305977111269 -3.775188916245961);
VVW5223;2022-07-04 19:10:00;AV H;AV J CJ CEARA;;CONJUNTO CEARA I;970805;Colisão Lateral;Via Iluminada;Bom;Seca;T;Semáforo;Cruzamento;(-38.6214136 -3.7769905);
RWT2864;2022-07-28 16:50:00;Rua Barbosa de Freitas;AV PDE ANTONIO TOMAS;;ALDEOTA;971128;Colisão Lateral;Luz do Dia;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.4986088 -3.740471);
ZVH4903;2022-07-04 22:40:00;Avenida Monsenhor Tabosa;;;PRAIA DE IRACEMA;970754;Atropelamento;Via Iluminada;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.51250186504981 -3.724097164692431);
STM5868;2022-07-29 22:00:00;Avenida Humberto Monte;;;BELA VISTA;970887;Colisão Lateral;Via Iluminada;Bom;Seca;Meio de quadra;Semáforo;Longo da via;(-38.55593756078032 -3.754484125946788);
OJF5513;2022-07-29 13:00:00;Avenida Deputado Paulino Rocha;;;CAJAZEIRAS;971100;Colisão Lateral;Luz do Dia;Bom;Seca;Outros;Não há Controle;Longo da via;(-38.51321533619853 -3.811747615393927);
ZUQ2778;2022-07-04 22:00:00;Avenida Governador Raul Barbosa;;;AEROLANDIA;970498;Atropelamento;Via Iluminada;Bom;Não informado;Meio de quadra;Semáforo;Longo da via;(-38.51295248367082 -3.775271215198235);
YCH1031;2022-07-30 20:00:00;Avenida Alberto Craveiro;;;CASTELAO;970819;Colisão Transversal;Luz do Dia;Nublado;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.51691678949833 -3.789459304015715);
RHN7673;2022-07-30 11:15:00;Avenida Tristão Gonçalves;RUA LIBERATO BARROSO;;CENTRO;971193;Colisão Transversal;Não informado;Bom;Seca;Cruz;Semáforo;Longo da via;(-38.53317097410388 -3.72699652754077);
QEX4064;2022-07-04 06:30:00;Avenida Almirante Henrique Sabóia;;;PAPICU;970450;Colisão Transversal;Mal Iluminada;Bom;Seca;Meio de quadra;Não há Controle;Longo da via;(-38.48460153719834 -3.73536534793168);
PGL4538;2022-07-04 11:20:00;RUA JOSE VILAR;RUA TORRES CAMARA;;ALDEOTA;970330;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Semáforo Danificado;Cruzamento;(-38.5048337 -3.736315399999999);
