COD_ACIDENTE;MORTOS;FERIDOS;ILESOS
OSS1531;0;0;2;
BKV2609;0;0;2;
URQ0276;0;1;1;
QPK3900;0;1;1;
QZS1507;0;2;1;
FIZ6396;0;0;2;
XGH1480;0;1;1;
IHI7726;0;0;2;
WAM9941;0;0;0;
WTM3371;0;1;1;
ZTU9214;0;0;0;
RBS0761;0;0;2;
ZCC0109;0;1;0;
GQZ0808;0;0;0;
TXX6890;0;0;0;
AUA3282;0;1;2;
GHG8832;0;1;2;
GRA8010;0;1;1;
ZKN8925;0;0;0;
JEZ5563;0;2;0;
DFA7981;0;0;0;
DNS9448;0;0;2;
BVB4660;0;0;0;
UIQ6394;0;2;1;
ROA8267;0;2;1;
EOE8330;0;1;0;
ZBI5672;0;0;1;
YQP4005;0;3;0;
FCG1350;0;0;1;
KRX9478;0;0;1;
IHQ3543;0;1;1;
HAP8953;0;1;0;
SYK9521;0;0;1;
RPH8963;0;1;1;
WQD1922;0;0;0;
EJG9403;0;2;0;
SJO0151;0;2;0;
CYY9410;0;1;1;
CSM7982;0;0;2;
WAV1720;0;1;1;
DXS5193;0;0;2;
DJF9704;0;1;1;
VJO9322;0;0;1;
BNT6451;0;2;0;
ZYL1822;0;1;2;
XYK9991;0;0;1;
MCV8885;0;0;0;
EIA8042;0;0;0;
CVQ7726;0;1;2;
CMO3531;0;1;0;
ZNB8027;0;1;1;
WLS5488;0;0;2;
JTU0299;0;1;2;
ILL8592;0;0;2;
TOJ1397;0;1;1;
UJI3171;0;0;1;
ASE6669;0;1;1;
NCX9215;0;0;0;
HVB7439;0;1;1;
MWH7477;0;0;1;
VAU8455;0;0;0;
APC9925;0;1;1;
GVZ0142;0;1;1;
FZR1795;0;0;0;
CXM1398;0;1;1;
AID5431;0;0;1;
OXF0734;0;1;3;
PJM2379;0;0;1;
OEC3205;0;0;0;
CCD7266;0;1;1;
FMY5745;0;1;1;
FSU7999;0;2;0;
LJT3749;0;2;1;
CQR9100;0;1;1;
ASD0961;0;1;1;
EGT0508;0;1;1;
WDA1271;0;1;1;
CWZ3465;0;0;0;
FBQ2883;0;0;1;
HZW2971;0;1;1;
IOK3535;0;1;0;
KXY7054;0;1;1;
FCG3378;0;0;0;
DMA9526;0;1;0;
UHN1841;0;2;1;
IJM2389;0;1;1;
HIG7871;0;2;1;
DLP9333;0;1;1;
BJE5497;0;1;1;
DCY4798;0;1;1;
HVS7810;0;1;1;
OKU3222;0;2;0;
FNM7086;0;2;1;
YDM9833;0;0;0;
IBI0862;0;1;1;
QEN1677;0;0;2;
BBE5241;0;1;2;
QBS0502;0;0;2;
PVO8719;0;0;0;
DCK7263;0;0;1;
WGS9816;0;1;0;
JXP9764;0;1;1;
RRW7062;0;0;1;
ZBL4548;0;1;1;
YQN3375;0;0;1;
MTC7443;0;2;0;
QBP0894;0;1;1;
VYH9813;0;0;1;
OYE6262;0;2;0;
LKR0629;0;1;1;
LOK4348;0;1;1;
HVM7338;0;1;1;
QPB1449;0;0;2;
LJE0186;0;1;0;
LZF7550;0;1;1;
VCY2589;0;2;0;
MVQ9524;0;1;1;
MXA7288;0;1;0;
UER8123;0;2;1;
WTR7216;0;1;1;
OSZ7916;0;0;1;
FMN7687;0;0;3;
IOB3632;0;0;0;
HEC9606;0;1;0;
GAM5396;0;2;0;
IND9409;0;1;1;
GCL4384;0;2;0;
NVS0410;0;1;1;
WQK1227;0;1;0;
GTK4225;0;1;0;
KBA2956;0;1;1;
HKE2782;0;1;0;
EIU0077;0;3;0;
FZU4195;0;0;2;
AAS7045;0;1;1;
RTG6653;0;2;0;
DCZ8065;0;0;2;
ZMH9452;0;1;1;
CRV1643;0;1;1;
ZVX2536;0;0;3;
KRH7108;0;2;0;
GPC6647;0;1;1;
TYW3987;0;0;1;
ZFG7479;0;1;0;
LER9664;0;1;1;
JNC2967;0;0;1;
CWK4530;0;1;2;
NRC1506;0;0;2;
CQV7480;0;0;1;
EHC9748;0;0;0;
DKL8064;0;0;0;
EGK4811;0;1;0;
NBW4600;0;0;1;
XPO4878;0;1;0;
ZHM7997;0;0;2;
ZJN6266;0;1;1;
MYV8472;0;1;1;
CVH9835;0;2;0;
IRN2845;0;0;2;
BLO3389;0;1;1;
YIT8347;0;0;1;
KLP7200;0;1;1;
BVZ9554;0;1;1;
HTG5489;0;1;1;
ELU9836;0;1;2;
NBD8989;0;1;1;
QZU7910;0;1;1;
BFV1435;0;2;0;
MHB6276;0;1;1;
VZD2044;0;1;1;
UIC1380;0;1;0;
DXW6918;0;1;1;
LEX8855;0;0;2;
EMV7814;0;0;1;
VHC3968;0;1;0;
ASS5944;0;1;1;
PLJ5158;0;2;0;
WNB8732;0;0;2;
PSE3177;0;1;1;
FBS8183;0;0;2;
OVH8391;0;0;2;
TKV7150;0;2;0;
SBB8794;0;1;1;
CBB1003;0;0;1;
HSE0981;0;1;1;
HDQ3702;0;0;0;
IQI3711;0;1;0;
ZGF6539;0;0;2;
SJY7424;0;0;0;
NEK0763;1;0;0;
XXG1408;0;0;2;
VIG5686;0;0;1;
SLE4762;0;1;1;
CWF3130;0;0;0;
GMK9770;0;1;1;
XHC1728;0;1;1;
OHY6780;0;0;0;
HUO0642;0;0;1;
ENT5718;0;3;1;
TVK5955;0;0;2;
RVE0478;0;0;1;
OCQ2710;0;0;2;
UYI4042;0;0;0;
FQO4446;0;0;1;
WEE2687;0;0;0;
KCN7982;0;0;1;
KMK9268;0;0;2;
NDP4051;0;0;0;
EQH8753;0;0;1;
LDX4775;0;0;2;
PVJ5885;0;0;0;
ABM4269;0;0;1;
QKR6588;0;1;1;
CFU8919;0;1;1;
FGN2125;0;0;0;
MUV0184;0;0;4;
HST0869;0;1;0;
TPM3166;0;0;0;
TPM3166;0;1;0;
IEH7621;0;0;1;
HJW8897;0;0;2;
EKC3370;0;1;0;
JDS7749;0;1;0;
ZKH2712;0;2;0;
DVN9208;0;1;1;
NSY5121;0;1;1;
NBP0573;0;1;0;
QHJ1379;0;0;0;
IOA7974;0;0;2;
ASE5862;0;1;0;
HXW6309;0;1;1;
IOQ8988;0;1;1;
AOU0576;0;1;1;
LSU4370;0;1;0;
TRU9736;0;0;0;
KNX3793;0;1;0;
LYX4305;0;1;1;
IUB0991;0;1;0;
MUZ2408;0;0;2;
SNG4877;0;1;0;
MVC3712;0;1;0;
QZS5473;0;0;0;
GBU9632;0;1;0;
UIA6937;0;0;0;
UTX9611;0;0;0;
NYS4126;0;0;1;
JQJ6520;0;2;0;
ROT4184;0;1;1;
FDV8371;0;0;0;
UNJ4074;0;1;2;
BDV9518;0;1;0;
VTM3437;0;1;1;
BGU0171;0;1;0;
BGU0171;0;1;1;
REG3712;0;2;0;
PTD7923;0;1;2;
CKE2604;0;1;1;
VUL9563;0;1;0;
DXP6479;1;1;0;
SKE8344;0;0;2;
GDI5125;0;0;1;
LLO8532;0;0;1;
YJI6486;0;0;2;
HPV7607;0;1;1;
EQH8386;0;0;2;
NZY3222;0;0;1;
LYM0190;0;0;0;
SBN6414;0;2;0;
QWX1492;0;1;1;
WFX7526;0;1;0;
WFH3400;0;0;0;
EIK0847;0;1;0;
UIJ5916;0;1;0;
SRT6692;0;0;4;
FIH2931;0;2;0;
EDR9254;1;0;0;
NKQ5149;0;1;1;
EUF0986;0;0;1;
ILP3202;0;2;0;
YUW7785;0;1;0;
DLJ6875;0;0;2;
OOR2304;0;2;0;
DTN4272;0;1;0;
HVZ9853;0;0;0;
POJ5418;0;1;1;
IIF9477;0;0;0;
MZH1186;0;0;2;
AFD2382;0;1;0;
DYC8697;0;2;0;
TXM0668;0;1;0;
AIP8551;0;1;0;
DEG1908;0;1;0;
RXT2344;0;2;0;
IZK3071;0;1;1;
QJA9893;0;1;0;
OHX8899;0;1;0;
BGW2560;0;0;3;
CBI9472;0;1;0;
ZFO9882;0;1;2;
BQL3129;0;1;0;
FFX5948;0;2;1;
KBO4627;0;1;0;
NKF5893;0;1;0;
AEK5922;0;1;1;
QNJ8846;0;0;1;
AGH3654;0;1;0;
QGA0695;0;1;0;
MRC8721;0;1;1;
UFG9977;0;0;0;
LSO9866;0;1;1;
QGL9484;0;0;0;
XSV0383;0;0;1;
EOZ9682;0;0;0;
DFE9796;0;0;0;
IKI5143;0;0;1;
SPS8958;0;1;0;
ARI8146;0;1;0;
ZGN5475;0;0;1;
QTI5082;0;1;2;
XBC0015;0;1;0;
OCD8583;0;0;1;
EIS1091;0;1;0;
FTM9879;0;0;0;
VNV9841;0;1;0;
IEN2410;0;1;0;
GAH2729;0;0;0;
JNK7675;1;0;1;
FBQ5758;0;1;0;
FII5108;0;0;1;
INU4679;1;0;0;
IWO4148;0;0;2;
XFE7448;0;1;0;
KCG7093;0;1;1;
JPX9558;0;1;0;
TEK2638;0;0;2;
OJK9212;0;1;0;
PAH0278;0;1;0;
BYO2879;1;0;0;
PVY4076;0;1;1;
GAO1582;0;1;2;
XGV9693;0;1;1;
NTG2542;0;1;0;
LQU9345;0;2;0;
BRE7300;0;0;1;
NJE0327;0;1;1;
JZC2200;0;1;0;
ZBQ9922;0;0;2;
OXR6455;0;0;0;
DBH8862;0;2;1;
FHU5400;0;0;2;
JQI2886;0;1;0;
AEK1860;0;0;1;
RSS9184;0;0;2;
GTL1310;0;0;0;
FXC1264;0;0;0;
JZC8213;0;1;0;
HWB7306;0;0;0;
TFB2093;0;1;0;
UEG5448;0;1;1;
TTN9597;0;0;2;
JRW2269;0;2;0;
SXG6604;0;2;0;
DNX4314;0;1;0;
LND1050;0;0;0;
RRE2427;0;0;2;
QSM3498;0;1;0;
SHC2027;0;1;1;
UJD1128;0;1;0;
KPZ6090;0;0;0;
YFT8153;0;0;1;
BYL3847;0;0;1;
IKW6201;0;0;0;
OPD7587;0;0;2;
QMS3762;0;1;2;
TFL3906;0;1;1;
XLX7887;0;0;0;
HZP8528;0;0;1;
HUM5176;0;4;0;
LVD4821;0;1;0;
XKY9417;0;1;1;
COQ0057;0;0;0;
POA4409;0;0;1;
JAJ1951;0;2;0;
UBQ2174;0;0;2;
YNZ4028;0;0;1;
AON7264;0;0;2;
GMX8309;0;0;0;
OIM6431;0;1;0;
WAV7682;0;1;0;
OVM5001;0;0;0;
LSM7597;0;1;1;
JTZ5483;0;1;2;
CKI3211;0;1;0;
CBZ0282;0;1;0;
IVE5329;0;0;0;
VMS5078;0;0;2;
SQU8359;0;1;0;
ZAD3371;0;1;0;
XSJ8348;0;1;0;
DOB8870;0;0;0;
CTZ7888;0;0;2;
ZBE2184;0;0;2;
BPY6012;0;0;1;
FXY6663;0;1;0;
NRL0906;0;1;1;
KAC8687;1;0;0;
KAC8687;1;0;0;
KAC8687;1;0;0;
KAC8687;1;0;0;
DGZ9674;1;0;0;
YTK7586;1;0;0;
VRF2359;0;1;1;
WVA3277;0;1;0;
GDI2827;0;0;0;
BTM7751;0;1;0;
PSU2367;0;0;4;
PPD4103;0;0;1;
BDK9745;0;0;0;
IWL6975;0;2;1;
GAN7958;0;1;0;
ABP7332;0;1;1;
OMB3192;0;0;1;
TOZ1056;0;1;0;
JYH6033;0;1;0;
BXF8813;0;1;0;
ZGE6845;0;0;2;
OPC8636;0;1;1;
JXH7943;0;1;0;
WPP5866;0;0;0;
ISM3902;0;0;1;
COB5968;0;0;2;
HBR1394;0;0;0;
ZBC1671;0;1;0;
ZNH6737;0;1;0;
HNY3217;0;0;0;
UMV7285;0;1;0;
HGD6574;0;1;1;
DMI1550;0;0;0;
HGD6574;0;0;1;
PWN4833;0;1;0;
CVO5519;0;0;2;
WGW9034;0;1;0;
OBC8772;0;0;1;
EYX5209;0;1;0;
DRO7537;0;1;1;
RWA5948;0;0;0;
YCL4524;0;0;1;
UOS4922;0;1;0;
JIF2000;0;1;0;
OXO4663;0;0;1;
VQJ0318;0;0;0;
EWC1909;0;1;0;
CUP4152;0;0;0;
UOZ0859;0;0;2;
FZU8262;0;2;1;
QKQ5294;0;1;0;
ORE5511;0;0;1;
ODS5867;0;0;1;
UYH2769;0;0;1;
NCX3170;0;1;1;
FLT9555;0;1;0;
ZML1093;0;0;0;
QRW5275;0;1;1;
XQS9053;0;1;1;
TRG1607;0;0;0;
LDH6384;0;0;1;
JTC4356;0;0;1;
ALR2805;0;0;1;
RXW5980;0;0;1;
OXJ1976;0;0;2;
MCZ0798;0;0;1;
UQF1096;0;0;0;
NBQ4381;0;0;0;
TMC5874;0;2;1;
NGK7045;0;0;0;
FPC9039;0;0;2;
GDQ7137;0;1;0;
MEW9740;0;2;0;
ZZS8033;0;0;3;
HZS4167;0;0;0;
DGN2634;0;0;1;
DCB6864;0;0;2;
JQL0581;0;1;0;
SER9211;0;0;0;
COU7685;0;1;0;
CLI9732;0;0;1;
UXP0301;0;0;1;
BRS4343;0;0;1;
QLI7454;0;1;0;
ODI7859;0;1;0;
QAX0257;0;1;0;
USI4000;0;1;0;
TRH7867;0;0;2;
URM5891;0;2;0;
LEJ4075;0;1;1;
UZU1605;0;1;0;
KMV9056;0;0;2;
PJL0803;0;1;0;
FZA2960;0;1;0;
VDL1487;0;0;1;
LXS5552;0;2;0;
GAI1326;0;0;2;
NFG4954;0;0;0;
LUL6778;0;0;0;
RJG8195;0;1;0;
NNB6728;0;0;1;
NDO6787;0;1;0;
EUE0804;0;0;0;
ODF1927;0;0;0;
PUP4499;0;1;0;
GXK6710;0;1;0;
UOY7607;0;2;0;
DUY2582;0;1;0;
DBA0562;0;0;2;
MYV0597;0;1;2;
EFG8163;0;0;1;
BCT9444;0;0;0;
CYA6356;0;1;1;
KRT2863;0;1;0;
RHA0290;0;1;1;
PWM5874;0;1;1;
MZL7478;0;1;0;
RUT6727;0;1;0;
BIC0614;0;1;0;
ICO6101;0;1;0;
GKP0619;0;0;2;
UZJ4069;0;1;0;
WGU8766;0;1;1;
GBL7571;0;1;0;
RVN8401;0;0;0;
CJL7890;0;0;4;
MDL0548;0;0;1;
ZWR2770;0;1;1;
EBY6295;0;1;0;
DRA2749;0;1;0;
VID0829;0;0;0;
BTQ8749;0;0;1;
ZKO5990;0;0;0;
RQB5687;0;1;1;
HCJ6207;0;1;1;
FNL6776;0;2;0;
JJQ0675;0;1;0;
HVA4239;0;2;0;
ZJO8540;0;1;0;
CVL7504;1;0;0;
XOM1577;0;1;1;
AYJ3007;0;0;2;
JYK5890;0;1;0;
ZLX1356;0;0;1;
JQQ3917;0;1;1;
LAD2520;0;1;0;
GDL9552;0;1;0;
OQI3390;0;0;0;
DWZ8949;0;0;0;
ZGX5933;0;0;1;
AWC0540;0;1;0;
HMX5951;0;0;0;
THP8127;0;1;0;
DMD8327;0;1;0;
AQW6808;0;0;1;
WLL9222;0;1;0;
LQK2711;0;1;0;
KMB4444;0;1;0;
UBI4110;0;0;0;
CPL8214;0;0;0;
QVK7265;0;1;0;
CPL8214;0;1;1;
XQF3690;0;1;0;
IKR8730;0;1;0;
OWY9741;0;1;0;
RSY6597;0;0;1;
OZK7589;0;2;0;
UHH6408;0;0;1;
IQH5385;0;1;0;
BSW9698;0;1;0;
WPF7859;0;0;1;
VNU9665;0;2;0;
VOA5774;0;0;0;
BIS6296;0;2;0;
VUM1118;0;1;0;
HLP8432;0;0;0;
MBK2258;0;1;0;
ELZ7666;0;0;2;
TKT0690;0;1;0;
XRV5292;0;1;0;
GQR4443;0;0;0;
ZUA6564;0;0;2;
MCY5898;0;1;1;
RSG4428;0;2;0;
GTK0550;0;1;0;
WFA2419;0;1;0;
TMP4736;0;0;2;
SMM1739;0;1;0;
QLF8196;0;1;0;
TNE8655;0;0;1;
WRS4960;0;1;0;
HKZ9697;0;1;1;
WBW1731;0;1;1;
XCF8258;0;0;1;
EQE4486;0;1;0;
PEV0173;0;0;2;
WLB1340;0;1;0;
BVD8523;0;1;0;
PLA7632;0;1;0;
DKD2689;0;0;2;
ZPI9572;0;0;2;
XQU7242;0;1;0;
PNQ3943;0;0;0;
CTI4315;0;1;0;
LHU8202;0;1;0;
GJN7348;0;0;3;
IBH2358;1;0;0;
TGJ2263;0;0;2;
KPC9984;0;1;0;
EDF7451;0;1;0;
EPU9330;0;1;0;
EWE5574;0;0;2;
WXX8887;0;1;0;
VTC6635;0;1;0;
TUL2774;0;0;0;
FFC7227;0;1;2;
UZF3584;0;1;0;
FIX5342;0;0;2;
XEY7312;0;0;0;
HRA4846;0;2;0;
JSS2210;0;0;1;
TUS3498;0;1;0;
QIK4875;0;2;0;
WGZ1245;0;1;3;
ZGT4553;0;1;1;
ZDO5298;0;0;1;
OVU4068;0;2;0;
JUM8912;0;0;2;
QUJ8575;0;0;2;
CLJ4590;0;1;0;
CIY5676;0;1;0;
TJL8146;0;1;0;
ICT8013;0;1;1;
ECB4754;0;1;0;
QWJ9835;0;0;1;
IUY4827;0;1;0;
HGD2643;0;1;0;
BOS6908;0;1;0;
DXB7299;0;2;0;
HCW5036;0;1;0;
XOH4345;0;0;1;
IRM4979;0;1;0;
GDH4510;0;1;0;
AFX2995;0;1;1;
VBP7668;0;0;0;
COC8213;0;0;1;
VTD9684;0;0;1;
PZE5333;0;1;0;
RTG5765;0;0;1;
GVH0488;0;2;0;
PTK3366;0;0;1;
OMB9020;0;0;0;
QXD9908;0;1;0;
TVU7456;0;1;1;
VQN4015;0;1;0;
ZEU1082;0;1;0;
BCU9424;0;0;0;
JBW1181;0;1;0;
WPC5056;0;1;1;
ZEA5100;0;0;2;
IHZ3580;0;1;0;
POW9579;0;0;1;
IUX1862;0;1;0;
MLA1922;0;0;0;
HLW5709;0;0;1;
GWH8273;0;0;2;
BPB5295;0;0;3;
XPX1438;0;1;0;
ZCO6613;0;0;1;
GMV7665;0;2;0;
HLB1712;0;0;0;
WPQ0608;0;1;0;
LGO4256;0;1;0;
AFV7461;0;0;3;
ATW5713;0;1;0;
ANS4119;0;1;1;
ZJC0021;0;1;0;
WBA6759;0;0;0;
RLI7970;0;0;1;
NUD0222;0;0;1;
YCD9466;0;2;0;
SHG2934;0;1;1;
AQQ8525;0;2;0;
ETW9984;0;0;0;
YOX0625;0;2;0;
KVR0138;0;1;0;
LII2332;0;1;0;
GBJ4049;0;1;0;
TQQ9866;0;2;0;
NND9500;0;1;0;
OQK7750;0;0;1;
RYK8099;0;0;2;
ADZ9782;0;0;1;
MZX2421;0;0;1;
FCH9706;0;0;1;
KRQ7719;0;1;0;
XRM7111;0;1;0;
MKP9249;0;1;1;
CKG6115;0;0;0;
CIV4775;0;1;2;
VNL0359;0;1;0;
MOO3529;0;1;0;
RVN2821;0;0;0;
ONF0343;0;1;0;
CRW8030;0;1;1;
LRU3919;0;1;0;
NPF5492;0;2;0;
UID1376;0;2;0;
QQP2495;0;1;0;
QGO8648;0;1;1;
WRB1448;0;0;0;
HSV4534;0;0;2;
OWO5306;0;2;0;
DZM1398;0;1;0;
OOU1438;0;0;0;
HQT1815;0;0;1;
DJJ1154;1;1;1;
OOQ4741;1;0;0;
BCV7648;1;0;0;
QTB3077;1;0;0;
HFN3362;1;0;0;
PJZ5976;1;0;0;
DMG5038;1;0;0;
OHI0596;1;1;0;
HYM7387;0;0;1;
TRU8190;0;0;0;
XDP7515;0;1;0;
TRP3273;1;1;0;
TRP3273;1;0;0;
CSG3982;1;0;0;
KFF9070;0;0;1;
ULS6774;0;1;1;
EXM4755;0;1;1;
QTQ8053;0;0;0;
RXZ0336;0;0;1;
QUZ8938;0;0;0;
EXD8757;0;1;0;
CVT1543;0;1;0;
YNF1160;0;0;1;
ISH4047;0;0;0;
YNF1160;0;0;0;
NWG9087;0;0;1;
UOS9785;0;0;4;
JVM7876;0;1;1;
VKR3140;0;1;0;
WSQ6891;0;2;0;
OAD5023;0;0;1;
LNB9434;0;0;0;
AHJ1193;0;1;0;
LIT3423;0;1;0;
CTV3045;0;0;0;
UKE5675;0;0;1;
LIT3423;0;2;0;
AIV1776;0;0;0;
GSR8921;0;1;0;
XXQ4271;0;0;2;
DGQ8519;0;0;2;
XRJ1987;0;1;0;
UFA1142;0;0;0;
XON9843;0;1;0;
DED2410;0;1;0;
YJX6844;0;0;1;
NYJ4775;0;1;0;
MGY4499;0;0;2;
XWS6830;0;0;1;
TOJ4841;0;0;1;
QRQ3699;0;0;0;
KWY7501;0;0;1;
PLW7291;0;0;1;
NZT1203;0;0;0;
QFC7896;0;1;0;
OPU8002;0;0;0;
QNS2102;0;1;0;
GWY5778;0;1;1;
AUG6915;0;0;2;
VME6969;0;0;0;
YRZ2178;0;0;0;
MIR5921;0;0;0;
FSH8864;0;0;1;
CAV3594;0;0;0;
HRC4787;0;1;0;
GTN7395;0;1;0;
UPO8869;0;1;1;
GJX0284;0;1;0;
XJZ4417;0;1;0;
VFO0672;0;1;1;
FRC5364;0;3;0;
YVH6306;0;1;1;
XGL7304;0;0;0;
QGL6855;0;0;0;
EPG7644;0;0;0;
WUB8909;0;0;1;
BEP2718;0;0;0;
IMR4725;0;1;0;
MMX3509;0;0;1;
RMP7587;0;1;0;
UUW6048;0;1;0;
WVW4665;0;0;0;
XXM6261;0;0;0;
BPV5972;0;1;0;
HZB7848;0;1;0;
SSM5670;0;1;0;
BFB4997;0;1;0;
YQB0315;0;1;0;
XUR6214;0;0;0;
PRE8111;0;2;0;
EDM7270;0;2;0;
SCY2595;0;1;0;
XRA2775;0;0;0;
CTJ7498;0;2;0;
BCC6472;0;0;0;
YNN0964;0;1;0;
GYX4333;1;0;0;
KOQ8043;1;0;0;
BKB1698;0;1;0;
CJT0893;0;1;0;
UYA8473;0;1;0;
BVK2540;0;1;0;
CSI6345;1;0;0;
YOY6059;0;0;1;
KDU4412;0;1;0;
BMT7196;1;0;0;
KXP9461;0;1;0;
DIL9504;0;1;1;
JLN0379;0;0;1;
UWK8064;0;1;0;
OIE2717;0;1;0;
ERZ7731;0;1;0;
EQP9664;0;1;1;
BMT7196;1;0;0;
BMT7196;1;0;0;
MYJ1678;1;0;0;
UYE1033;0;1;0;
JQQ6837;0;1;0;
JQQ6837;0;1;0;
ZMD2243;0;1;0;
FRG8373;0;1;1;
RMW3205;0;1;1;
KAZ6706;0;0;0;
DBE2844;0;0;0;
VAL8182;0;0;1;
TSW8179;0;1;1;
TIU6025;0;1;0;
QHZ6413;0;0;1;
EXR3192;0;0;2;
MVM3180;0;0;0;
LVQ8323;0;0;2;
XVG6019;0;1;0;
IWD4177;0;0;2;
PRZ5641;0;1;0;
FPG8738;0;1;0;
TOI3914;0;0;0;
ZHS5496;0;0;0;
FPG8738;0;0;1;
UEJ4577;0;0;2;
ANY9283;0;0;1;
CMB7364;0;0;0;
MAF0356;0;0;2;
JZI1695;0;1;1;
EHD6053;0;1;0;
PRK3592;0;1;0;
LGP3802;0;1;0;
YWH2228;0;1;0;
OKJ5586;0;2;0;
CIM3273;0;0;1;
OKK8827;0;0;1;
LSL3796;0;1;0;
ZRC2702;0;1;1;
EJT2475;0;0;2;
EZW8023;0;1;0;
QDY1900;0;1;0;
XHH7136;0;1;0;
QKB7710;0;1;0;
FBB5476;0;0;2;
RGW5132;0;0;0;
VKY5805;0;1;0;
VAA3085;0;1;0;
IJZ3051;0;0;0;
RRJ0049;0;0;0;
CSZ1805;1;0;0;
EHP3198;1;0;0;
EHP3198;1;0;0;
EHP3198;1;0;0;
LVU8513;1;0;0;
LDK8230;1;0;0;
LDK8230;1;0;0;
