COD_ACIDENTE;MORTOS;FERIDOS;ILESOS
DCA3537;0;0;2;
UMF4535;0;1;1;
DSS5743;0;0;1;
HIH7360;0;3;0;
EET9346;0;1;2;
KAD5023;0;0;1;
ZFD8288;0;0;0;
VSU1976;0;0;0;
IEQ7114;0;0;1;
GLL2160;0;1;2;
BYD7658;0;1;0;
DHA3700;0;2;1;
XQT4546;0;0;1;
SDM2581;0;0;1;
VTV2642;1;0;1;
UCB9857;0;2;0;
TJZ2073;0;1;1;
FBB2903;0;0;0;
USV4019;0;1;1;
QAT6587;0;0;0;
HRK1325;0;0;0;
MKK3879;0;0;2;
AMX9898;0;0;0;
BYV0061;0;0;1;
KJF2047;0;0;0;
RNQ8237;0;0;2;
PES3220;0;1;0;
UOI4317;0;1;1;
SWP5765;0;0;1;
EWY0516;0;1;0;
LOH2700;0;0;2;
PIT2062;0;0;2;
TBE9572;0;0;0;
SMQ4728;0;1;0;
DTT1915;0;2;0;
PWD5755;0;0;0;
IXZ9575;0;0;0;
WVN0408;0;1;1;
FKB8193;0;1;1;
FJJ8102;0;1;1;
HGC4264;0;3;0;
HGC4264;0;1;1;
PVL1086;0;1;1;
GOK6152;0;1;0;
YUE8300;0;2;1;
FVR4245;0;1;0;
RNV2291;0;0;0;
YJO3745;0;0;2;
LGH5337;0;2;1;
HXI1676;0;0;2;
EOV3412;0;0;2;
FYT4157;0;1;0;
MTP9457;0;1;1;
SHY6608;0;1;1;
OSB7079;0;1;2;
OMK5780;0;0;2;
GFW5831;1;0;0;
WQZ6549;0;2;1;
XCA4694;0;1;1;
KTV9828;0;1;0;
UZA7984;0;1;1;
KTV9828;0;1;1;
QVD1305;0;1;1;
DFZ8991;0;1;1;
UZD6995;0;0;3;
ZKQ5022;0;0;1;
KIC0656;0;1;1;
JUN9589;0;1;0;
BVC4042;0;1;1;
HJU0235;0;2;0;
TSC2229;0;0;0;
IET7636;0;0;1;
SCP4554;0;0;1;
LPS9473;0;0;1;
TFH5853;0;0;0;
ICN1564;0;1;1;
WHQ5032;0;1;0;
ZXS4786;0;1;3;
ZNM9673;0;1;0;
RYM9364;0;0;0;
DLN0488;0;1;0;
VRB5424;0;0;2;
LES9740;0;0;2;
QXC4526;0;1;1;
UXS2004;0;0;2;
HSN8880;0;0;2;
ZYC2433;0;0;1;
UOO7550;0;0;2;
DHS1002;0;0;1;
EDF3638;0;1;1;
LAT7619;0;1;1;
SUH4086;0;0;1;
SON0391;0;0;0;
EBF7929;0;4;0;
BZZ3583;0;1;1;
HMM1199;0;2;0;
VFE9448;0;1;1;
UQX9040;0;2;1;
FSD8171;0;0;2;
KUH2551;0;0;3;
QEG1328;0;0;0;
BYQ1882;0;1;1;
FGS4794;0;1;0;
QVB6406;0;0;1;
SLU5919;0;0;2;
CXG6913;0;1;1;
SBS3907;0;0;0;
DTF9287;0;3;0;
VVW5223;0;1;1;
RWT2864;0;0;1;
ZVH4903;0;1;1;
STM5868;0;0;1;
OJF5513;0;1;1;
ZUQ2778;0;1;0;
YCH1031;0;0;1;
RHN7673;0;0;0;
QEX4064;0;1;1;
PGL4538;0;2;1;
PEN2473;2;1;0;
YMK5140;0;1;1;
SWJ7286;0;1;1;
OZD0745;1;0;1;
ATJ8733;0;0;0;
OQG9710;0;0;1;
XAO9401;1;0;0;
AFJ4793;0;1;1;
PJJ2671;0;1;1;
WIR4894;0;1;1;
IFG9969;0;0;1;
CTX6147;1;2;0;
XHN3188;0;0;1;
MNL2823;0;0;2;
GDL4225;0;0;1;
ECC0833;0;1;1;
MBA5739;0;0;1;
CWJ8784;0;0;2;
SKU4289;0;0;1;
IMN0674;0;1;1;
EIU1684;0;1;1;
DHI4941;0;0;1;
ZHG6541;0;0;0;
QHK5839;0;1;0;
DUA9085;0;0;2;
LGL8578;0;0;0;
AXZ6207;0;1;0;
VMD3773;0;0;3;
EXY4829;0;1;1;
XEZ2949;0;0;0;
TRF3153;0;0;1;
UXL9409;0;0;0;
MSF9815;0;1;1;
RXN9518;0;0;2;
JFP9248;0;0;4;
MEG0721;0;1;1;
IYR8086;0;0;2;
OTL7316;0;1;1;
GZG2485;0;1;0;
HYD7666;0;1;1;
UDU6187;0;0;1;
VUT7902;0;0;0;
MMT0055;0;0;3;
OJW3589;0;1;1;
VXN2421;0;1;1;
SBJ4309;0;0;2;
LUX6641;0;0;0;
DOJ9596;1;0;0;
MXG9667;0;0;0;
ZAT5340;0;1;1;
KKE4421;0;1;0;
JOE6238;0;0;0;
